hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
R,23.6,4.0,3.0,44.0,29.0,19.0,8.0,8.0,0.0,2.0,9.0,3385.0,1,Clay,64,A,2017,3,QF,52.0
R,31.4,5.0,2.0,79.0,44.0,35.0,19.0,12.0,2.0,4.0,28.0,1460.0,1,Hard,64,M,2022,3,R64,115.0
R,28.4,5.0,4.0,55.0,32.0,27.0,14.0,10.0,1.0,1.0,42.0,1020.0,1,Hard,32,A,2017,3,R32,86.0
R,23.1,1.0,3.0,30.0,17.0,9.0,1.0,6.0,1.0,6.0,209.0,289.0,0,Hard,32,A,2022,3,R16,47.0
R,32.6,11.0,6.0,146.0,87.0,66.0,43.0,26.0,4.0,5.0,12.0,2310.0,1,Hard,128,G,2020,5,R128,218.0
R,23.0,27.0,3.0,108.0,73.0,62.0,20.0,20.0,1.0,1.0,3.0,8350.0,1,Hard,128,G,2021,5,R64,161.0
R,30.7,6.0,2.0,61.0,25.0,18.0,19.0,12.0,1.0,5.0,71.0,771.0,0,Hard,32,A,2018,3,R16,89.0
R,26.6,6.0,4.0,105.0,71.0,50.0,18.0,17.0,1.0,4.0,19.0,2045.0,1,Hard,128,M,2018,3,QF,162.0
R,30.1,3.0,1.0,63.0,47.0,27.0,7.0,9.0,5.0,9.0,45.0,1091.0,0,Clay,32,A,2022,3,R16,88.0
R,24.0,13.0,1.0,62.0,41.0,36.0,11.0,11.0,2.0,3.0,81.0,885.0,1,Hard,64,A,2021,3,R16,91.0
R,27.1,7.0,2.0,92.0,62.0,42.0,19.0,13.0,9.0,11.0,104.0,548.0,1,Clay,128,G,2019,5,R128,125.0
R,27.7,5.0,3.0,79.0,56.0,44.0,8.0,14.0,2.0,5.0,75.0,860.0,1,Hard,32,A,2022,3,R32,140.0
L,33.1,0.0,1.0,52.0,36.0,25.0,11.0,9.0,0.0,1.0,42.0,1035.0,1,Hard,32,A,2017,3,R32,75.0
R,31.6,1.0,3.0,86.0,55.0,32.0,11.0,13.0,4.0,11.0,108.0,760.0,0,Clay,128,G,2021,5,R128,112.0
R,29.6,10.0,4.0,115.0,65.0,40.0,25.0,19.0,3.0,8.0,100.0,811.0,0,Hard,128,G,2021,5,R128,160.0
R,23.6,9.0,0.0,72.0,42.0,30.0,17.0,10.0,8.0,9.0,24.0,1825.0,0,Hard,64,M,2017,3,R32,96.0
R,27.0,3.0,2.0,69.0,31.0,20.0,17.0,10.0,2.0,5.0,84.0,695.0,0,Hard,64,M,2018,3,R64,90.0
R,30.4,5.0,0.0,58.0,45.0,34.0,9.0,10.0,0.0,0.0,4.0,5060.0,1,Hard,32,A,2019,3,R16,73.0
R,19.8,8.0,6.0,86.0,49.0,28.0,17.0,13.0,4.0,10.0,54.0,888.0,0,Hard,64,A,2017,3,R32,108.0
R,18.8,8.0,5.0,148.0,86.0,57.0,24.0,22.0,12.0,21.0,394.0,88.0,0,Hard,128,G,2019,5,R64,184.0
R,30.4,3.0,4.0,82.0,48.0,24.0,20.0,10.0,5.0,9.0,26.0,1570.0,0,Hard,32,A,2018,3,R32,91.0
R,24.8,4.0,2.0,57.0,39.0,34.0,9.0,10.0,1.0,1.0,3.0,7515.0,1,Clay,4,D,2022,3,RR,96.0
R,27.3,2.0,2.0,91.0,58.0,37.0,15.0,14.0,8.0,13.0,58.0,928.0,0,Clay,32,A,2019,3,QF,140.0
L,30.7,4.0,2.0,123.0,73.0,55.0,25.0,20.0,7.0,10.0,64.0,870.0,0,Clay,128,G,2018,5,R32,167.0
L,23.6,3.0,2.0,59.0,45.0,33.0,4.0,9.0,8.0,10.0,76.0,699.0,0,Clay,32,A,2019,3,R32,86.0
L,32.9,7.0,2.0,71.0,50.0,35.0,10.0,11.0,2.0,4.0,42.0,1501.0,0,Grass,32,A,2021,3,R16,103.0
R,27.6,7.0,8.0,75.0,35.0,30.0,24.0,13.0,1.0,2.0,148.0,394.0,1,Hard,128,M,2017,3,R128,86.0
R,23.7,7.0,3.0,52.0,36.0,28.0,6.0,10.0,0.0,2.0,14.0,1990.0,0,Hard,64,M,2018,3,QF,71.0
R,28.1,11.0,4.0,81.0,42.0,30.0,18.0,10.0,9.0,11.0,21.0,1830.0,0,Hard,32,A,2019,3,R16,88.0
R,34.1,4.0,3.0,93.0,61.0,50.0,14.0,15.0,5.0,6.0,1.0,12113.0,1,Grass,128,G,2021,5,QF,137.0
R,24.6,3.0,2.0,80.0,49.0,30.0,10.0,12.0,3.0,9.0,39.0,1015.0,0,Clay,128,G,2017,5,R128,80.0
R,29.1,9.0,5.0,46.0,22.0,21.0,12.0,8.0,2.0,2.0,37.0,1260.0,1,Hard,32,A,2020,3,R32,65.0
